t,T
0,874
2,872
4,870
6,868
8,867
10,863
12,859
14,853
16,848
18,842
20,835
22,829
24,823
26,815
28,810
30,802
32,796
34,790
36,783
38,777
40,772
42,766
44,759
46,754
48,748
50,742
52,731
54,725
56,716
58,711
60,706
62,700
64,696
66,692
68,688
70,684
72,680
74,676
76,674
78,670
80,668
82,662
84,660
86,658
88,656
90,653
92,649
94,648
96,645
98,643
100,641
102,640
104,633
106,629
108,628
110,625
112,623
114,621
116,618
118,613
120,612
122,609
124,606
126,603
128,600
130,598
132,592
134,590
136,588
138,585
140,583
142,580
144,577
146,575
148,573
150,568
152,565
154,560
156,558
158,555
160,553
162,550
164,548
166,544
168,542
170,539
172,536
174,528
176,525
178,524
180,523
182,522
184,519
186,517
188,515
190,511
192,508
194,506
196,505
198,503
200,501
202,498
204,495
206,493
208,491
210,488
212,486
214,482
216,479
218,478
220,476
222,474
224,471
226,468
228,467
230,465
232,462
234,461
236,457
238,452
240,450
242,448
244,446
246,443
248,438
250,435
252,434
254,432
256,430
258,429
260,427
262,425
264,424
266,420
268,417
270,411
272,410
274,406
276,403
278,400
280,398
282,397
284,395
286,394
288,391
290,387
292,386
294,384
296,376
298,374
300,371
302,368
304,367
306,366
308,365
310,363
312,361
314,359
316,357
318,356
320,355
322,354
324,352
326,351
328,350
330,349
332,347
334,346
336,345
338,343
340,341
342,340
344,339
346,335
348,334
350,331
352,329
354,327
356,326
358,325
360,324
362,323
364,322
366,321
368,320
370,319
372,318
374,317
376,316
378,315
380,312
382,311
384,310
386,309
388,308
390,307
392,306
394,305
396,304
398,303
400,302
402,301
404,299
406,298
408,297
410,296
412,295
414,294
416,293
418,292
420,291
422,290
424,289
426,288
428,287
430,286
432,285
434,284
436,283
438,282
440,281
442,280
444,279
446,278
448,277
450,276
452,274
454,273
456,272
458,271
460,270
462,268
464,265
466,264
468,263
470,262
472,261
474,260
476,259
478,258
480,257
482,256
484,255
486,253
488,252
490,250
492,246
494,242
496,241
498,240
500,238
502,236
504,234
506,230
508,228
510,227
512,224
514,222
516,221
518,220
520,219
522,217
524,216
526,215
528,213
530,212
532,211
534,210
536,206
538,205
540,204
542,203
544,202
546,200
548,200
550,200
552,197
554,197
556,195
558,195
560,195
562,192
564,192
566,192
568,189
570,188
572,188
574,188
576,185
578,185
580,183
582,183
584,183
586,180
588,180
590,178
592,177
594,176
596,175
598,174
600,173
602,172
604,171
606,170
608,169
610,168
612,167
614,166
616,165
618,164
620,163
622,162
624,161
626,160
628,159
630,158
632,157
634,156
636,155
638,154
640,153
642,152
644,151
646,150
648,149
650,148
652,147
654,146
656,146
658,146
660,143
662,143
664,141
666,141
668,141
670,138
672,138
674,138
676,135
678,135
680,135
682,135
684,131
686,130
688,129
690,129
692,129
694,126
696,126
698,124
700,124
702,124
704,121
706,121
708,121
710,118
712,118
714,116
716,115
718,115
720,115
722,112
724,112
726,112
728,109
730,109
732,107
734,107
736,107
738,104
740,104
742,104
744,101
746,101
748,99
750,98
752,98
754,98
756,95
758,95
760,93
762,93
764,91
766,90
768,89
770,89
772,89
774,88
