t,T
0,828
2,819
4,814
6,803
8,792
10,780
12,762
14,750
16,745
18,733
20,723
22,712
24,702
26,694
28,687
30,681
32,675
34,671
36,665
38,661
40,657
42,653
44,648
46,643
48,639
50,636
52,634
54,632
56,631
58,628
60,627
62,624
64,621
66,618
68,614
70,611
72,605
74,600
76,595
78,590
80,584
82,578
84,573
86,569
88,563
90,557
92,552
94,547
96,542
98,537
100,532
102,526
104,522
106,518
108,512
110,507
112,503
114,498
116,494
118,489
120,484
122,480
124,477
126,472
128,468
130,463
132,460
134,456
136,452
138,448
140,444
142,440
144,437
146,434
148,430
150,425
152,422
154,419
156,415
158,413
160,410
162,405
164,403
166,399
168,395
170,393
172,390
174,387
176,384
178,381
180,379
182,376
184,372
186,370
188,367
190,364
192,361
194,359
196,356
198,354
200,351
202,349
204,346
206,344
208,341
210,339
212,336
214,334
216,332
218,328
220,326
222,324
224,323
226,320
228,318
230,316
232,314
234,313
236,310
238,308
240,306
242,304
244,301
246,300
248,297
250,296
252,293
254,292
256,290
258,288
260,286
262,285
264,283
266,281
268,279
270,277
272,276
274,275
276,272
278,271
280,269
282,267
284,265
286,264
288,262
290,260
292,259
294,257
296,256
298,256
300,253
302,253
304,251
306,249
308,248
310,246
312,245
314,244
316,242
318,240
320,238
322,237
324,235
326,234
328,233
330,231
332,230
334,229
336,227
338,226
340,225
342,224
344,222
346,221
348,220
350,219
352,218
354,216
356,216
358,214
360,213
362,212
364,211
366,210
368,208
370,207
372,207
374,205
376,204
378,203
380,202
382,201
384,200
386,200
388,198
390,197
392,196
394,195
396,194
398,193
400,192
402,192
404,191
406,189
408,188
410,188
412,186
414,186
416,185
418,184
420,183
422,182
424,182
426,181
428,179
430,179
432,178
434,177
436,177
438,175
440,175
442,174
444,173
446,173
448,171
450,169
452,169
454,167
456,167
458,166
460,166
462,165
464,164
466,163
468,162
470,162
472,161
474,160
476,160
478,158
480,158
482,157
484,156
486,156
488,155
490,154
492,154
494,153
496,152
498,151
500,151
502,150
504,150
506,148
508,148
510,147
512,148
514,146
516,146
518,145
520,144
522,144
524,143
526,142
528,142
530,141
532,140
534,140
536,139
538,139
540,138
542,138
544,137
546,136
548,136
550,135
552,135
554,135
556,134
558,133
560,132
562,132
564,132
566,131
568,131
570,129
572,129
574,128
576,128
578,128
580,127
582,127
584,126
586,125
588,126
590,125
592,124
594,124
596,124
598,122
600,122
602,121
604,121
606,121
608,120
610,120
612,119
614,119
616,118
618,118
620,117
622,117
624,117
626,116
628,116
630,115
632,115
634,115
636,114
638,114
640,114
642,113
644,113
646,112
648,111
650,111
652,111
654,111
656,109
658,109
660,109
662,108
664,108
666,107
668,107
670,107
672,107
674,106
676,106
678,105
680,105
682,104
684,104
686,103
688,103
690,103
692,103
694,103
696,102
698,102
700,102
702,101
704,101
706,100
708,100
710,99
712,99
714,99
716,98
718,97
720,97
722,97
724,97
726,97
728,96
730,96
732,96
734,95
736,95
738,94
740,94
742,94
744,94
746,94
748,93
750,93
752,93
754,92
756,92
758,92
760,92
762,92
764,92
766,92
768,91
770,91
772,91
774,90
776,90
778,90
780,89
782,89
784,89
786,88
788,88
790,87
792,87
794,87
796,87
798,87
800,87
802,87
804,86
806,86
808,86
810,86
812,85
814,85
816,85
818,85
820,84
822,84
824,84
826,83
828,83
830,83
832,83
834,83
836,83
838,82
840,82
842,82
844,81
846,81
848,81
850,81
852,80
854,80
856,80
858,80
860,80
862,80
864,79
866,79
868,79
870,79
872,78
874,78
876,78
878,78
880,78
882,78
884,77
886,77
