t,T
0,769
2,765
4,757
6,748
8,730
10,728
12,714
14,706
16,699
18,692
20,686
22,681
24,676
26,670
28,662
30,659
32,652
34,648
36,643
38,641
40,638
42,636
44,635
46,632
48,628
50,625
52,621
54,617
56,612
58,607
60,602
62,596
64,590
66,585
68,579
70,574
72,569
74,563
76,558
78,552
80,547
82,542
84,536
86,531
88,528
90,524
92,517
94,512
96,507
98,503
100,498
102,493
104,491
106,486
108,480
110,476
112,472
114,468
116,463
118,460
120,456
122,452
124,447
126,444
128,440
130,437
132,434
134,430
136,426
138,422
140,419
142,415
144,413
146,409
148,405
150,402
152,399
154,395
156,392
158,389
160,386
162,384
164,380
166,377
168,374
170,371
172,369
174,365
176,363
178,359
180,358
182,355
184,353
186,352
188,348
190,345
192,343
194,340
196,337
198,335
200,332
202,330
204,328
206,325
208,324
210,322
212,320
214,317
216,315
218,313
220,311
222,309
224,307
226,305
228,303
230,301
232,299
234,297
236,295
238,293
240,291
242,289
244,286
246,285
248,284
250,281
252,280
254,278
256,276
258,276
260,273
262,271
264,269
266,268
268,266
270,264
272,263
274,261
276,259
278,258
280,256
282,256
284,255
286,253
288,251
290,251
292,249
294,247
296,246
298,245
300,243
302,242
304,240
306,238
308,236
310,234
312,233
314,232
316,231
318,230
320,228
322,227
324,226
326,224
328,224
330,222
332,220
334,219
336,218
338,217
340,216
342,215
344,214
346,213
348,212
350,211
352,210
354,209
356,207
358,206
360,204
362,203
364,202
366,202
368,201
370,199
372,199
374,198
376,198
378,196
380,194
382,193
384,193
386,192
388,191
390,190
392,189
394,188
396,187
398,186
400,185
402,184
404,184
406,183
408,181
410,180
412,180
414,179
416,178
418,177
420,177
422,176
424,175
426,174
428,173
430,171
432,171
434,169
436,168
438,168
440,167
442,167
444,165
446,165
448,164
450,163
452,163
454,162
456,161
458,161
460,159
462,159
464,158
466,158
468,157
470,156
472,155
474,155
476,154
478,153
480,152
482,151
484,151
486,150
488,150
490,150
492,149
494,148
496,148
498,146
500,146
502,145
504,144
506,144
508,143
510,142
512,141
514,141
516,141
518,139
520,138
522,137
524,137
526,136
528,136
530,135
532,134
534,133
536,133
538,133
540,132
542,131
544,130
546,130
548,130
550,130
552,129
554,128
556,127
558,127
560,127
562,126
564,125
566,125
568,124
570,124
572,123
574,123
576,122
578,122
580,121
582,121
584,120
586,120
588,119
590,119
592,118
594,118
596,118
598,118
600,117
602,117
604,116
606,116
608,115
610,114
612,114
614,114
616,114
618,113
620,113
622,112
624,111
626,111
628,111
630,110
632,110
634,109
636,108
638,108
640,108
642,107
644,107
646,107
648,106
650,106
652,106
654,105
656,105
658,105
660,104
662,104
664,103
666,103
668,102
670,102
672,101
674,101
676,101
678,100
680,100
682,99
684,99
686,99
688,98
690,98
692,97
694,97
696,96
698,96
700,95
702,95
704,95
706,95
708,94
710,94
712,94
714,93
716,93
718,93
720,93
722,92
724,92
726,92
728,92
730,92
732,92
734,91
736,91
738,91
740,90
742,90
744,89
746,89
748,89
750,89
752,88
754,88
756,88
758,87
760,87
762,87
764,87
766,87
768,86
770,86
772,86
774,86
776,85
778,85
780,85
782,85
784,84
786,84
788,84
790,84
792,83
794,83
796,83
798,83
800,83
802,82
804,82
806,82
808,81
810,81
812,81
814,81
816,81
818,80
820,80
822,80
824,80
826,79
828,79
830,79
832,79
834,78
836,78
838,78
840,78
842,77
844,77
846,77
848,76
850,76
852,76
854,76
856,76
858,75
860,75
862,75
864,75
866,75
868,74
870,74
872,74
874,74
876,74
878,73
880,73
882,73
884,73
886,73
888,72
890,72
892,72
894,72
896,72
898,71
900,71
902,71
904,71
906,71
908,70
910,70
912,70
914,70
916,70
918,69
920,69
922,69
924,69
926,69
928,68
930,68
932,68
934,68
936,68
938,67
940,67
942,67
944,67
946,67
948,66
950,66
952,66
954,66
956,66
958,66
960,65
962,65
964,65
966,65
968,65
970,65
972,64
974,64
976,64
978,64
980,64
982,64
984,63
986,63
988,63
990,63
992,63
994,63
996,63
998,62
1000,62
1002,62
1004,62
1006,62
1008,62
1010,62
1012,62
1014,62
1016,61
1018,61
1020,61
1022,61
1024,61
1026,61
1028,60
1030,60
1032,60
1034,60
1036,60
1038,60
1040,60
1042,59
1044,59
1046,59
1048,59
1050,59
1052,59
1054,59
1056,59
1058,59
1060,58
1062,58
1064,58
1066,58
1068,58
1070,58
1072,58
1074,58
1076,58
1078,57
1080,57
1082,57
1084,57
1086,57
1088,57
1090,57
1092,57
1094,57
1096,56
1098,56
1100,56
1102,56
1104,56
1106,56
1108,56
1110,56
1112,55
1114,55
1116,55
1118,55
1120,55
1122,55
1124,55
1126,55
1128,55
1130,55
1132,55
1134,54
1136,54
1138,54
1140,54
1142,54
1144,54
1146,54
1148,54
1150,54
1152,54
1154,54
1156,53
1158,53
1160,53
1162,53
1164,53
1166,53
1168,53
1170,53
1172,53
1174,53
1176,53
1178,53
1180,52
1182,52
1184,52
1186,52
1188,52
1190,52
1192,52
1194,52
1196,52
1198,52
1200,52
1202,52
1204,51
1206,51
1208,51
1210,51
1212,51
1214,51
1216,51
1218,51
1220,51
1222,51
1224,51
1226,51
1228,50
1230,50
1232,50
1234,50
1236,50
1238,50
1240,50
1242,50
1244,50
1246,50
1248,50
1250,50
1252,50
1254,49
1256,49
1258,49
1260,49
1262,49
1264,49
1266,49
1268,49
1270,49
1272,49
1274,49
1276,49
1278,49
1280,49
1282,48
1284,48
1286,48
1288,48
1290,48
1292,48
1294,48
1296,48
1298,48
1300,48
1302,48
1304,48
1306,48
1308,48
1310,48
1312,48
1314,48
1316,47
1318,47
1320,47
1322,47
1324,47
1326,47
1328,47
1330,47
1332,47
1334,47
1336,47
1338,47
1340,47
1342,47
1344,47
1346,47
1348,46
1350,46
1352,46
1354,46
1356,46
1358,46
1360,46
1362,46
1364,46
1366,46
1368,46
1370,46
1372,46
1374,46
1376,46
1378,46
1380,45
1382,45
1384,45
1386,45
1388,45
1390,45
1392,45
1394,45
1396,45
1398,45
1400,45
1402,45
1404,45
1406,45
1408,45
1410,45
1412,45
1414,45
1416,45
1418,45
1420,44
1422,44
1424,44
1426,44
1428,44
1430,44
1432,44
1434,44
1436,44
1438,44
1440,44
1442,44
1444,44
1446,44
1448,44
1450,44
1452,44
1454,44
1456,44
1458,44
1460,44
1462,43
1464,43
1466,43
1468,43
1470,43
1472,43
1474,43
1476,43
1478,43
1480,43
1482,43
1484,43
1486,43
1488,43
1490,43
1492,43
1494,43
1496,43
1498,43
1500,43
1502,43
1504,43
1506,42
1508,42
1510,42
1512,42
1514,42
1516,42
1518,42
1520,42
1522,42
1524,42
1526,42
1528,42
1530,42
1532,42
1534,42
1536,42
1538,42
1540,42
1542,42
1544,42
1546,42
1548,42
1550,42
1552,42
1554,42
1556,42
1558,42
1560,42
1562,42
1564,41
1566,41
1568,41
1570,41
1572,41
1574,41
1576,41
1578,41
1580,41
1582,41
1584,41
1586,41
1588,41
1590,41
1592,41
1594,41
1596,41
1598,41
1600,41
1602,41
1604,41
1606,41
1608,41
1610,41
1612,41
1614,41
1616,40
1618,40
1620,40
1622,40
1624,40
1626,40
1628,40
1630,40
1632,40
1634,40
1636,40
1638,40
1640,40
1642,40
1644,40
1646,40
1648,40
1650,40
1652,40
1654,40
1656,40
1658,40
1660,40
1662,40
1664,40
1666,39
1668,39
1670,39
1672,39
1674,39
1676,39
1678,39
1680,39
1682,39
1684,39
1686,39
1688,39
1690,39
1692,39
1694,39
1696,39
1698,39
1700,39
1702,39
1704,39
1706,39
1708,39
1710,39
1712,39
1714,39
1716,39
1718,39
1720,39
1722,39
1724,39
1726,38
1728,38
1730,38
1732,38
1734,38
1736,38
1738,38
1740,38
1742,38
1744,38
1746,38
1748,38
1750,38
1752,38
1754,38
1756,38
1758,38
1760,38
1762,38
1764,38
1766,38
1768,38
1770,38
1772,38
1774,38
1776,38
1778,38
1780,38
1782,38
1784,38
1786,38
1788,38
1790,38
1792,38
1794,38
1796,38
1798,38
1800,38
1802,38
1804,38
1806,38
1808,38
1810,38
1812,38
1814,38
1816,38
1818,38
1820,38
1822,38
1824,38
1826,38
1828,38
1830,38
1832,37
1834,37
1836,37
1838,37
1840,37
1842,37
1844,37
1846,37
1848,37
1850,37
1852,37
1854,37
1856,37
1858,37
1860,37
1862,37
1864,37
1866,37
1868,37
1870,37
1872,37
1874,37
1876,37
1878,37
1880,37
1882,37
1884,37
1886,37
1888,37
1890,37
1892,37
1894,37
1896,37
1898,37
1900,37
1902,37
1904,37
1906,37
1908,37
1910,37
1912,36
1914,36
1916,36
1918,36
1920,36
1922,36
1924,36
1926,36
1928,36
1930,36
1932,36
1934,36
1936,36
1938,36
1940,36
1942,36
1944,36
1946,36
1948,36
1950,36
1952,36
1954,36
1956,36
1958,36
1960,36
1962,36
1964,36
1966,36
1968,36
1970,36
1972,36
1974,36
1976,36
1978,36
1980,36
1982,36
1984,36
1986,36
1988,36
1990,36
1992,36
1994,36
1996,36
1998,36
2000,36
2002,36
2004,36
2006,36
2008,36
2010,36
2012,36
2014,36
2016,36
2018,36
2020,36
2022,35
2024,35
2026,35
2028,35
2030,35
2032,35
2034,35
2036,35
2038,35
2040,35
2042,35
2044,35
2046,35
2048,35
2050,35
2052,35
2054,35
2056,35
2058,35
2060,35
2062,35
2064,35
2066,35
2068,35
2070,35
2072,35
2074,35
2076,35
2078,35
2080,35
2082,35
2084,35
2086,35
2088,35
2090,35
2092,35
2094,35
2096,35
2098,35
2100,35
2102,35
2104,35
2106,35
2108,35
2110,35
2112,35
2114,35
2116,35
2118,35
2120,35
2122,35
2124,35
2126,35
2128,35
2130,35
2132,35
2134,35
2136,35
2138,35
2140,35
2142,35
2144,35
2146,35
2148,35
2150,35
2152,35
2154,35
2156,35
2158,35
2160,35
2162,35
2164,35
2166,35
2168,35
2170,35
2172,35
2174,35
2176,35
2178,35
2180,35
2182,35
2184,35
2186,35
2188,35
2190,35
2192,35
2194,34
