t,T
0,917
2,915
4,914
6,911
8,909
10,906
12,900
14,897
16,894
18,890
20,884
22,880
24,875
26,867
28,861
30,856
32,851
34,847
36,842
38,835
40,830
42,822
44,814
46,810
48,807
50,800
52,793
54,786
56,779
58,773
60,768
62,756
64,749
66,744
68,739
70,732
72,725
74,715
76,710
78,705
80,700
82,697
84,689
86,675
88,671
90,666
92,659
94,649
96,645
98,641
100,638
102,631
104,625
106,615
108,610
110,606
112,604
114,600
116,598
118,596
120,594
122,591
124,589
126,587
128,584
130,581
132,575
134,574
136,570
138,568
140,562
142,559
144,555
146,552
148,550
150,546
152,545
154,544
156,542
158,535
160,533
162,530
164,528
166,524
168,522
170,520
172,518
174,515
176,512
178,508
180,507
182,505
184,503
186,501
188,499
190,496
192,492
194,490
196,488
198,486
200,484
202,482
204,481
206,479
208,475
210,473
212,471
214,467
216,463
218,462
220,460
222,458
224,457
226,454
228,453
230,450
232,446
234,441
236,439
238,435
240,433
242,432
244,429
246,427
248,422
250,421
252,416
254,414
256,412
258,409
260,406
262,405
264,401
266,400
268,397
270,395
272,392
274,389
276,387
278,386
280,383
282,382
284,378
286,377
288,373
290,371
292,370
294,366
296,363
298,362
300,359
302,358
304,356
306,354
308,350
310,348
312,345
314,343
316,340
318,339
320,334
322,333
324,331
326,330
328,325
330,323
332,321
334,320
336,317
338,315
340,313
342,311
344,306
346,305
348,302
350,300
352,298
354,294
356,293
358,291
360,288
362,285
364,283
366,281
368,277
370,275
372,273
374,272
376,271
378,270
380,269
382,268
384,267
386,266
388,265
390,264
392,263
394,262
396,261
398,260
400,259
402,258
404,257
406,253
408,252
410,251
412,250
414,249
416,248
418,247
420,246
422,245
424,244
426,243
428,242
430,241
432,240
434,239
436,238
438,237
440,236
442,235
444,234
446,233
448,232
450,232
452,231
454,230
456,229
458,228
460,226
462,224
464,222
466,221
468,218
470,217
472,216
474,215
476,214
478,213
480,212
482,211
484,210
486,209
488,208
490,207
492,206
494,205
496,204
498,203
500,202
502,201
504,200
506,199
508,198
510,196
512,195
514,193
516,192
518,190
520,189
522,188
524,184
526,183
528,182
530,181
532,178
534,176
536,173
538,171
540,170
542,169
544,168
546,167
548,164
550,162
552,161
554,160
556,157
558,156
560,154
562,153
564,150
566,148
568,148
570,144
572,143
574,140
576,139
578,138
580,134
582,134
584,133
586,133
588,133
590,133
592,132
594,132
596,132
598,132
600,131
602,131
604,131
606,131
608,131
610,130
612,130
614,130
616,130
618,130
620,130
622,130
624,127
626,127
628,127
630,127
632,127
634,127
636,126
638,126
640,126
642,126
644,125
646,125
648,125
650,125
652,125
654,124
656,124
658,124
660,124
662,123
664,123
666,123
668,123
670,121
672,121
674,121
676,121
678,121
680,121
682,118
684,118
686,118
688,118
690,117
692,117
694,117
696,117
698,117
700,117
702,117
704,117
706,117
708,116
710,116
712,116
714,116
716,116
718,116
720,116
722,116
724,115
726,115
728,115
730,115
732,114
734,114
736,114
738,114
740,114
742,113
744,113
746,113
748,113
750,112
752,112
754,112
756,112
758,112
760,111
762,111
764,111
766,111
768,111
770,111
772,111
774,110
776,110
778,110
780,110
782,110
784,110
786,110
788,108
790,108
792,108
794,108
796,107
798,107
800,107
802,107
804,106
806,106
808,106
810,106
812,105
814,105
816,105
818,105
820,105
822,105
824,105
826,105
828,104
830,104
832,104
834,104
836,104
838,104
840,104
842,104
844,103
846,103
848,103
850,103
852,103
854,103
856,102
858,102
860,102
862,102
864,102
866,101
868,101
870,101
872,101
874,101
876,98
878,98
880,98
882,98
884,98
886,97
888,97
890,97
892,97
894,97
896,96
898,96
900,96
902,96
904,95
906,95
908,95
910,95
912,95
914,94
916,94
918,94
920,94
922,94
924,94
926,94
928,93
930,93
932,93
934,93
936,92
938,92
940,92
942,92
944,92
946,91
948,91
950,91
952,91
954,90
956,90
958,90
960,90
962,90
964,89
966,89
968,89
970,89
972,89
974,89
976,89
978,89
980,89
982,89
984,89
986,88
988,88
990,88
992,88
994,88
996,88
998,88
1000,88
1002,87
1004,87
1006,87
1008,87
1010,87
1012,86
1014,86
1016,86
1018,86
1020,86
1022,85
1024,85
1026,85
1028,85
1030,85
1032,84
1034,84
1036,84
1038,84
1040,84
1042,84
1044,84
1046,84
1048,83
1050,83
1052,83
1054,83
1056,83
1058,83
1060,83
1062,83
1064,83
1066,83
1068,83
1070,82
1072,82
1074,82
1076,82
1078,82
1080,82
